search_name, iteration_number, physical_memory, virtual_memory, e-nodes, e-classes, applied_rules, total_time, hook_time, search_time, apply_time, rebuild_time, found
binomial4_0, 1, 2514944, 3772416, 5, 5, 15, 0.000056925, 0.00001552, 0.000011376, 0.000042161, 0.000003215, false
binomial4_0, 2, 2535424, 3772416, 26, 9, 0, 0.000001666, 0.000204802, 0.000000059, 0.000000089, 0.000001322, true
binomial4_1, 1, 2465792, 3772416, 6, 6, 20, 0.000073447, 0.000020037, 0.000014541, 0.000055295, 0.000003434, false
binomial4_1, 2, 2510848, 3772416, 32, 9, 19, 0.000135505, 0.000206883, 0.000034285, 0.000096482, 0.00000459, false
binomial4_1, 3, 2609152, 3895296, 64, 15, 54, 0.000316946, 0.000211793, 0.000066413, 0.000224972, 0.000025419, false
binomial4_1, 4, 2740224, 4149248, 134, 22, 75, 0.000720982, 0.000258725, 0.000141132, 0.000539701, 0.000039964, false
binomial4_1, 5, 2965504, 4284416, 225, 23, 114, 0.000844465, 0.000350045, 0.000199801, 0.000580306, 0.000064153, false
binomial4_1, 6, 3457024, 4845568, 406, 58, 396, 0.002014957, 0.000370936, 0.000304058, 0.001420189, 0.000290514, false
binomial4_1, 7, 4468736, 5894144, 1032, 88, 979, 0.004078152, 0.000663481, 0.000734592, 0.003049642, 0.000293255, false
binomial4_1, 8, 10252288, 12480512, 2438, 259, 4723, 0.021846801, 0.001186371, 0.001970514, 0.01718832, 0.002687659, false
binomial4_1, 9, 10395648, 12480512, 9421, 959, 0, 0.000128168, 0.004940148, 0.000000167, 0.00000075, 0.000125866, true
binomial4_2, 1, 2482176, 3772416, 10, 10, 38, 0.000106556, 0.000021327, 0.000023832, 0.000075762, 0.000006768, false
binomial4_2, 2, 2588672, 3907584, 56, 16, 56, 0.000321488, 0.000253965, 0.00007359, 0.000237061, 0.000010598, false
binomial4_2, 3, 2895872, 4231168, 131, 28, 165, 0.001178669, 0.000288456, 0.000167288, 0.000916314, 0.000094779, false
binomial4_2, 4, 3493888, 4993024, 343, 51, 450, 0.002166505, 0.000420099, 0.000325419, 0.001651565, 0.000189346, false
binomial4_2, 5, 5517312, 7380992, 956, 136, 1748, 0.010121863, 0.000658399, 0.000988538, 0.007863142, 0.001269995, false
binomial4_2, 6, 5824512, 7700480, 3290, 367, 0, 0.000052364, 0.002659506, 0.000000061, 0.000000402, 0.000051387, true
binomial4_3, 1, 2609152, 3907584, 23, 23, 90, 0.00025894, 0.000054955, 0.000060094, 0.000185972, 0.000012661, false
binomial4_3, 2, 2854912, 4067328, 132, 35, 165, 0.000828748, 0.00039936, 0.000182968, 0.000608993, 0.000036596, false
binomial4_3, 3, 3940352, 5206016, 373, 91, 795, 0.004008763, 0.000452671, 0.000703042, 0.002885646, 0.000419853, false
binomial4_3, 4, 6733824, 8458240, 1399, 198, 2382, 0.011277652, 0.001035564, 0.001657383, 0.008685629, 0.000934406, false
binomial4_3, 5, 17100800, 20000768, 4463, 531, 8225, 0.045003192, 0.00230408, 0.004095373, 0.036526756, 0.004380675, false
binomial4_3, 6, 45150208, 47288320, 14565, 1057, 14037, 0.151759641, 0.007873932, 0.012112411, 0.131754532, 0.007892357, false
binomial4_3, 7, 99090432, 115757056, 30774, 1740, 33833, 0.369057194, 0.020195296, 0.029367303, 0.30747842, 0.032211058, false
binomial4_3, 8, 353800192, 364953600, 73754, 5104, 150009, 1.836087147, 0.041533727, 0.062480964, 1.621907692, 0.151698167, false
binomial4_3, 9, 1297309696, 1597632512, 245796, 5838, 190203, 7.204487614, 0.275798003, 0.231050399, 6.590739271, 0.382697591, false
binomial4_3, 10, 1304719360, 1597632512, 460128, 1810, 0, 0.001706991, 0.483653171, 0.000000044, 0.000000196, 0.001706247, true
binomial4_unguided, 1, 2519040, 3772416, 5, 5, 15, 0.000063647, 0.000028381, 0.000013401, 0.000046442, 0.000003609, false
binomial4_unguided, 2, 2555904, 3772416, 26, 9, 17, 0.000126581, 0.000246748, 0.000030515, 0.000092038, 0.000003751, false
binomial4_unguided, 3, 2600960, 3883008, 50, 9, 9, 0.00016935, 0.000244522, 0.000044751, 0.000118701, 0.000005714, false
binomial4_unguided, 4, 2674688, 3883008, 67, 15, 58, 0.000347055, 0.000254727, 0.000074484, 0.000239955, 0.00003246, false
binomial4_unguided, 5, 2813952, 4161536, 142, 22, 75, 0.000548832, 0.000277275, 0.000117484, 0.000382822, 0.000048362, false
binomial4_unguided, 6, 3051520, 4300800, 233, 23, 114, 0.000903664, 0.000312111, 0.000167128, 0.00066718, 0.00006918, false
binomial4_unguided, 7, 3616768, 5046272, 414, 58, 406, 0.002154301, 0.000417188, 0.000319983, 0.001555883, 0.000278121, false
