search_name, iteration_number, physical_memory, virtual_memory, e-nodes, e-classes, applied_rules, total_time, hook_time, search_time, apply_time, rebuild_time, found
tile_1d_s, 0, 2396160, 3678208, 5, 5, 1, 0.000009014, 0.000013389, 0.000002604, 0.000005124, 0.000001139, false
tile_1d_s, 1, 2424832, 3678208, 11, 10, 0, 0.000000925, 0.000169424, 0.00000006, 0.000000082, 0.00000058, true
tile_1d_r, 0, 2412544, 3678208, 9, 9, 0, 0.000000913, 0.000023318, 0.000000067, 0.000000142, 0.000000452, true
tile_1d, 0, 2338816, 3678208, 5, 5, 1, 0.000009589, 0.000012766, 0.000003481, 0.000004475, 0.000001126, false
tile_1d, 1, 2359296, 3678208, 11, 10, 0, 0.000001168, 0.000173718, 0.000000063, 0.000000146, 0.000000701, true
tile_2d_r, 0, 2371584, 3678208, 18, 18, 8, 0.000025712, 0.000029814, 0.000007662, 0.000014603, 0.000003304, false
tile_2d_r, 1, 2408448, 3678208, 45, 37, 27, 0.000056773, 0.00019065, 0.000017158, 0.000032739, 0.000006774, false
tile_2d_r, 2, 2502656, 3780608, 100, 65, 93, 0.000148975, 0.000232843, 0.000034631, 0.000096788, 0.000017446, false
tile_2d_r, 3, 2609152, 3915776, 258, 130, 0, 0.000007272, 0.000401281, 0.000000043, 0.000000096, 0.000006942, true
tile_2d, 0, 2416640, 3678208, 8, 8, 3, 0.000016093, 0.000016469, 0.000003609, 0.000010406, 0.000001928, false
tile_2d, 1, 2445312, 3678208, 23, 20, 11, 0.000031227, 0.000171191, 0.000007398, 0.000019865, 0.000003862, false
tile_2d, 2, 2502656, 3678208, 55, 41, 39, 0.000087402, 0.000180833, 0.000020397, 0.000057394, 0.000009494, false
tile_2d, 3, 2637824, 3948544, 146, 93, 142, 0.000220532, 0.000275169, 0.000048208, 0.00014473, 0.000027488, false
tile_2d, 4, 3108864, 4415488, 407, 212, 602, 0.00080425, 0.000507172, 0.000130378, 0.000553536, 0.000120167, false
tile_2d, 5, 5279744, 6746112, 1356, 553, 3120, 0.003937777, 0.001408551, 0.000534428, 0.00276357, 0.000639609, false
tile_2d, 6, 5971968, 7299072, 5723, 1617, 0, 0.000119953, 0.007329054, 0.000000104, 0.000000096, 0.000119499, true
tile_3d_s, 0, 2437120, 3678208, 11, 11, 5, 0.000022545, 0.000023657, 0.000004436, 0.000014942, 0.000003018, false
tile_3d_s, 1, 2486272, 3678208, 34, 29, 24, 0.00005772, 0.00019254, 0.000013232, 0.000037578, 0.00000679, false
tile_3d_s, 2, 2617344, 3919872, 103, 74, 102, 0.000183609, 0.000251943, 0.000037009, 0.000122528, 0.000023949, false
tile_3d_s, 3, 3084288, 4370432, 339, 208, 455, 0.000666629, 0.000499548, 0.000114337, 0.000452923, 0.000099255, false
tile_3d_s, 4, 5091328, 6447104, 1206, 620, 2375, 0.003355307, 0.001469793, 0.000459244, 0.002259729, 0.00063616, false
tile_3d_s, 5, 17539072, 19230720, 5118, 2112, 16334, 0.024228938, 0.006519946, 0.002318954, 0.016222902, 0.005686701, false
tile_3d_s, 6, 21405696, 22966272, 29357, 9005, 0, 0.001523679, 0.052987086, 0.000000211, 0.000000468, 0.001522484, true
tile_3d_r, 0, 2469888, 3678208, 26, 26, 14, 0.000051099, 0.000045809, 0.000010509, 0.000034123, 0.000006305, false
tile_3d_r, 1, 2555904, 3813376, 75, 61, 58, 0.000134286, 0.000264734, 0.000034426, 0.000083585, 0.000016123, false
tile_3d_r, 2, 2772992, 3948544, 210, 138, 229, 0.000402871, 0.000395587, 0.000089496, 0.000261293, 0.000051933, false
tile_3d_r, 3, 3727360, 5046272, 637, 336, 1131, 0.001716218, 0.000904185, 0.000260005, 0.001201351, 0.000254714, false
tile_3d_r, 4, 8249344, 9773056, 2419, 976, 6549, 0.010170697, 0.003238093, 0.001209464, 0.00724158, 0.001719347, false
tile_3d_r, 5, 43606016, 47280128, 11924, 3248, 52561, 0.09675894, 0.013516421, 0.006528541, 0.060452485, 0.029777208, false
tile_3d_r, 6, 575647744, 636121088, 83571, 16630, 755367, 2.383833964, 0.263030723, 0.158572932, 1.497259418, 0.728001196, false
tile_3d_r, 7, 607420416, 660688896, 1085450, 163379, 0, 0.08319738, 7.33451729, 0.000000127, 0.000000223, 0.083196124, true
tile_3d, 0, 2428928, 3678208, 11, 11, 5, 0.00003532, 0.000033029, 0.000006954, 0.000023816, 0.000004313, false
tile_3d, 1, 2478080, 3678208, 34, 29, 24, 0.000098478, 0.000315381, 0.000018581, 0.000069689, 0.000010046, false
tile_3d, 2, 2609152, 3915776, 103, 74, 102, 0.000258637, 0.000357059, 0.000051989, 0.000173472, 0.000033005, false
tile_3d, 3, 3080192, 4370432, 339, 208, 455, 0.000930975, 0.000668686, 0.000189315, 0.000608428, 0.000133078, false
tile_3d, 4, 5079040, 6447104, 1206, 620, 2375, 0.004588221, 0.001920526, 0.000581364, 0.003028341, 0.000978218, false
tile_3d, 5, 17559552, 19230720, 5118, 2112, 16334, 0.032210805, 0.007960352, 0.002789411, 0.021393663, 0.008026602, false
tile_3d, 6, 144273408, 159309824, 29357, 9005, 185727, 0.45961613, 0.065375276, 0.034159332, 0.284749434, 0.140706881, false
tile_3d, 7, 3954274304, 4445368320, 284754, 61389, 5918864, 22.949412812, 1.077590198, 1.132154077, 14.6094071, 7.207851113, false
