search_name, iteration_number, physical_memory, virtual_memory, e-nodes, e-classes, applied_rules, total_time, hook_time, search_time, apply_time, rebuild_time
tile_1d_s, 0, 2400256, 3678208, 5, 5, 1, 0.000008703, 0.000031243, 0.000002329, 0.000005136, 0.000001029
tile_1d_s, 1, 2420736, 3678208, 11, 10, 0, 0.000000893, 0.000162776, 0.00000004, 0.00000007, 0.0000006
tile_1d_r, 0, 2400256, 3678208, 9, 9, 0, 0.000000991, 0.00002084, 0.000000122, 0.00000013, 0.000000484
tile_1d, 0, 2404352, 3678208, 5, 5, 1, 0.000008379, 0.000012668, 0.00000317, 0.000004006, 0.000001033
tile_1d, 1, 2424832, 3678208, 11, 10, 0, 0.000000922, 0.000138766, 0.000000035, 0.000000083, 0.000000622
tile_2d_s, 0, 2351104, 3678208, 8, 8, 2, 0.000012998, 0.000016479, 0.00000281, 0.00000854, 0.000001504
tile_2d_s, 1, 2371584, 3678208, 18, 16, 4, 0.000011621, 0.000146393, 0.000004295, 0.000005601, 0.00000162
tile_2d_s, 2, 2383872, 3678208, 28, 22, 7, 0.000022139, 0.000132113, 0.000006371, 0.000012808, 0.000002863
tile_2d_s, 3, 2396160, 3678208, 45, 32, 15, 0.000031708, 0.000144026, 0.000010455, 0.00001733, 0.000003829
tile_2d_s, 4, 2420736, 3678208, 70, 42, 0, 0.000002712, 0.000182998, 0.000000051, 0.000000071, 0.000002425
tile_2d_r, 0, 2437120, 3678208, 18, 18, 8, 0.000023354, 0.000038909, 0.000005602, 0.000014551, 0.000003022
tile_2d_r, 1, 2473984, 3678208, 45, 37, 27, 0.00005054, 0.000168267, 0.000014012, 0.000029936, 0.000006486
tile_2d_r, 2, 2568192, 3813376, 100, 65, 93, 0.000139621, 0.000196405, 0.000031221, 0.00009261, 0.000015685
tile_2d_r, 3, 2682880, 3899392, 258, 130, 0, 0.000006518, 0.00037497, 0.00000005, 0.000000072, 0.000006237
tile_2d, 0, 2416640, 3678208, 8, 8, 3, 0.000015591, 0.000016399, 0.000003487, 0.000010106, 0.000001862
tile_2d, 1, 2445312, 3678208, 23, 20, 11, 0.000029209, 0.000146499, 0.00000713, 0.000018275, 0.000003705
tile_2d, 2, 2502656, 3678208, 55, 41, 39, 0.00007981, 0.000157366, 0.000018922, 0.000052056, 0.000008747
tile_2d, 3, 2637824, 3948544, 146, 93, 142, 0.000206272, 0.000243295, 0.000044268, 0.000135451, 0.000026459
tile_2d, 4, 3112960, 4419584, 407, 212, 602, 0.000742458, 0.000459841, 0.000131164, 0.000503832, 0.000107357
tile_2d, 5, 5283840, 6746112, 1356, 553, 3120, 0.003902712, 0.001267031, 0.000483565, 0.002763641, 0.00065524
tile_2d, 6, 5976064, 7299072, 5723, 1617, 0, 0.000111464, 0.006754899, 0.000000095, 0.00000007, 0.000111069
tile_3d_s, 0, 2408448, 3678208, 11, 11, 3, 0.000015882, 0.000020388, 0.000003282, 0.000010585, 0.000001836
tile_3d_s, 1, 2445312, 3678208, 25, 22, 7, 0.000019114, 0.00015437, 0.000005672, 0.000010714, 0.000002622
tile_3d_s, 2, 2469888, 3678208, 42, 32, 16, 0.000040196, 0.000151366, 0.000011785, 0.000023924, 0.000004395
tile_3d_s, 3, 2510848, 3813376, 81, 55, 43, 0.00007639, 0.000187119, 0.000021579, 0.000045145, 0.000009575
tile_3d_s, 4, 2605056, 3813376, 162, 93, 114, 0.000168635, 0.0002649, 0.000039881, 0.000105906, 0.000022743
tile_3d_s, 5, 2961408, 4280320, 355, 172, 381, 0.000512659, 0.00043278, 0.000090924, 0.00035125, 0.000070371
tile_3d_s, 6, 3096576, 4284416, 924, 352, 0, 0.00002081, 0.001066366, 0.000000041, 0.000000078, 0.000020493
tile_3d_r, 0, 2457600, 3678208, 26, 26, 11, 0.0000318, 0.000040255, 0.000007114, 0.000020667, 0.000003884
tile_3d_r, 1, 2510848, 3813376, 63, 52, 39, 0.000073933, 0.000191391, 0.000019503, 0.000045467, 0.000008856
tile_3d_r, 2, 2625536, 3813376, 150, 100, 129, 0.000193047, 0.000261694, 0.000042155, 0.000117458, 0.000033325
tile_3d_r, 3, 3076096, 4386816, 390, 211, 532, 0.000669378, 0.000477978, 0.000120546, 0.000455746, 0.000092939
tile_3d_r, 4, 4816896, 6078464, 1235, 523, 2466, 0.003031191, 0.001366786, 0.000401804, 0.002063359, 0.000565891
tile_3d_r, 5, 15814656, 17416192, 4986, 1417, 16911, 0.024454289, 0.004855593, 0.002005979, 0.015349926, 0.007098057
tile_3d_r, 6, 180207616, 192086016, 28520, 6389, 239008, 0.574415917, 0.041029658, 0.029678805, 0.342859892, 0.20187682
tile_3d_r, 7, 223395840, 233570304, 360472, 64269, 0, 0.023328097, 1.5523563550000001, 0.000000153, 0.00000019, 0.023326876
tile_3d, 0, 2428928, 3678208, 11, 11, 5, 0.000036942, 0.000030926, 0.000007326, 0.000024847, 0.000004535
tile_3d, 1, 2478080, 3678208, 34, 29, 24, 0.000087268, 0.000259805, 0.000019482, 0.000056944, 0.000010675
tile_3d, 2, 2609152, 3915776, 103, 74, 102, 0.000274694, 0.000359898, 0.000056192, 0.000183574, 0.000034768
tile_3d, 3, 3080192, 4370432, 339, 208, 455, 0.001005566, 0.000693837, 0.000185286, 0.000679001, 0.000141086
tile_3d, 4, 5079040, 6447104, 1206, 620, 2375, 0.004331915, 0.00199644, 0.000618393, 0.002999443, 0.000713881
tile_3d, 5, 17559552, 19230720, 5118, 2112, 16334, 0.029467932, 0.0076962, 0.002756337, 0.019899288, 0.006811599
tile_3d, 6, 144302080, 159313920, 29357, 9005, 185727, 0.43154237, 0.048358267, 0.02456795, 0.267154464, 0.13981947
tile_3d, 7, 3955613696, 4445368320, 284754, 61389, 5918864, 21.184847774, 1.036743946, 1.027096912, 13.043501076, 7.114249257
