search_name, iteration_number, physical_memory, virtual_memory, e-nodes, e-classes, applied_rules, total_time, hook_time, search_time, apply_time, rebuild_time, found
tile_1d_s, 1, 2347008, 3698688, 5, 5, 1, 0.000009825, 0.000006531, 0.000002792, 0.000005717, 0.000001085, false
tile_1d_s, 2, 2367488, 3698688, 11, 10, 0, 0.000001313, 0.000227521, 0.000000048, 0.000000073, 0.000000796, true
tile_1d_r, 1, 2355200, 3698688, 9, 9, 0, 0.000001089, 0.000013225, 0.000000062, 0.000000299, 0.000000457, true
tile_1d, 1, 2351104, 3698688, 5, 5, 1, 0.000013268, 0.000011765, 0.000003627, 0.000007886, 0.000001507, false
tile_1d, 2, 2371584, 3698688, 11, 10, 0, 0.000001115, 0.000261434, 0.000000045, 0.000000082, 0.000000772, true
tile_2d_s, 1, 2363392, 3698688, 8, 8, 3, 0.000018086, 0.000010565, 0.000003875, 0.000011798, 0.000002245, false
tile_2d_s, 2, 2387968, 3698688, 23, 20, 11, 0.000033363, 0.000223264, 0.000008674, 0.000019983, 0.00000455, false
tile_2d_s, 3, 2445312, 3698688, 55, 41, 39, 0.000094451, 0.000215699, 0.000020486, 0.000062708, 0.000011147, false
tile_2d_s, 4, 2584576, 3969024, 146, 93, 142, 0.000250935, 0.000265303, 0.000053194, 0.000165271, 0.000032353, false
tile_2d_s, 5, 2654208, 3969024, 407, 212, 0, 0.000012087, 0.000395738, 0.00000005, 0.000000176, 0.000011676, true
tile_2d_r, 1, 2449408, 3698688, 18, 18, 8, 0.000028217, 0.000021845, 0.000007256, 0.000017056, 0.000003735, false
tile_2d_r, 2, 2486272, 3698688, 45, 37, 27, 0.000061127, 0.000231489, 0.000016909, 0.000036111, 0.000007881, false
tile_2d_r, 3, 2584576, 3833856, 102, 67, 91, 0.000202323, 0.000246487, 0.000055811, 0.000125604, 0.000020692, false
tile_2d_r, 4, 2650112, 3833856, 261, 135, 0, 0.000008351, 0.000334704, 0.000000064, 0.000000088, 0.000007997, true
tile_2d, 1, 2424832, 3698688, 8, 8, 3, 0.000022308, 0.00001631, 0.000006551, 0.00001321, 0.000002255, false
tile_2d, 2, 2449408, 3698688, 23, 20, 11, 0.000046517, 0.000335652, 0.000016103, 0.000025635, 0.000004565, false
tile_2d, 3, 2510848, 3698688, 55, 41, 39, 0.000108848, 0.000333138, 0.000029089, 0.000067831, 0.000011785, false
tile_2d, 4, 2641920, 3969024, 146, 93, 142, 0.000258733, 0.000376823, 0.000055273, 0.000170879, 0.000032429, false
tile_2d, 5, 3121152, 4431872, 407, 212, 602, 0.000920467, 0.000469067, 0.000164713, 0.000622405, 0.000133179, false
tile_2d, 6, 5419008, 6795264, 1356, 553, 3120, 0.004512987, 0.000869747, 0.000624997, 0.003076201, 0.000811584, false
tile_2d, 7, 5926912, 7389184, 5723, 1617, 0, 0.000133714, 0.003045477, 0.00000006, 0.000000076, 0.000133331, true
tile_3d_s, 1, 2445312, 3698688, 11, 11, 5, 0.00002636, 0.000014097, 0.000004303, 0.000018447, 0.000003371, false
tile_3d_s, 2, 2490368, 3698688, 34, 29, 24, 0.000071976, 0.000277649, 0.000019413, 0.000044566, 0.000007808, false
tile_3d_s, 3, 2621440, 3936256, 103, 74, 102, 0.000202438, 0.000302107, 0.000042137, 0.000134406, 0.000025717, false
